chunk_id,text
0, Le président américain Donald Trump a déclaré cette semaine que le soutien américain à l'Ukraine devrait être compensé par un accès aux ressources naturelles ukrainiennes.
1,Des déclarations qui ont fait beaucoup parler mais qui s'inscrivent dans une stratégie bien précise de Donald Trump.
2,Alors quel est-elle et que réclame précisément le président américain ?
3,"Salut ces blanches, Hugo est à nouveau absent aujourd'hui donc je prends le relais."
4,On est parti pour un nouveau résumé de l'actualité en une dizaine de minutes.
5,C'est une nouvelle approche dans les négociations de paix entre l'Ukraine et la Russie.
6,"On le sait Donald Trump prend le sujet très au sérieux, allant même jusqu'à déclarer pendant sa campagne qu'il pouvait régler le conflit en 24 heures."
7,Bon on l'a vu depuis son équipe est revenue sur ses propos déclarant que les négociations pourraient prendre plusieurs mois.
8,D'ailleurs un plan de paix américain devrait être bientôt présenté.
9,"Mais depuis quelques jours, en attendant ces fameuses négociations de paix, il y a un nouvel élément qui rentre en compte."
10,C'est la question d'un accès aux minerais ukrainien en échange du soutien militaire des États-Unis à l'Ukraine.
11,"Cette proposition, elle ne sort pas de nulle part."
12,"En fait, en septembre, le président ukrainien Volodymyr Zelensky en avait directement parlé à Donald Trump, alors qu'il était en campagne pour la présidentielle américaine."
13,Volodymyr Zelensky a d'ailleurs rappelé récemment que ce partage des ressources faisait partie de son plan pour la victoire qu'il avait présenté en octobre 2024.
14,"Nous sommes ouverts au fait que les minerais puissent être développés avec nos partenaires qui nous aident à protéger notre territoire et à repousser l'ennemi avec leurs armes, leurs présences et leurs paquets de sanctions."
15,"C'est tout à fait juste, c'est notamment ce qu'il avait déclaré."
16,Il a cependant souligné qu'une partie des ressources minérales se trouve en zone occupée puisque la Russie contrôle environ 20% du territoire ukrainien actuellement.
17,"Mais alors, qu'y réclame Donald Trump concrètement ?"
18,"Eh bien, il veut que l'aide militaire et financière américaine à l'Ukraine soit compensée par un accès privilégié aux ressources stratégiques ukrainiennes, en particulier les terres rares."
19,"Ces terres, elles contiennent des métaux qui sont utilisés notamment pour la production de smartphones, de véhicules électriques, de turbines éoliennes ou encore de systèmes de défense."
20,"Parmi eux, l'uranium, le titan, le lithium ou encore le graphite."
21,Il faut savoir que l'Ukraine est l'un des pays les plus riches d'Europe en ressources naturelles.
22,Ce serait donc selon Donald Trump un moyen de sécuriser l'argent versé à l'Ukraine faute de certitude de l'issue du conflit.
23,Il voudrait l'équivalent de 500 milliards de dollars de terres rares.
24,"Ce qui est intéressant de voir là, c'est que la stratégie de Donald Trump dépasse le cadre strictement diplomatique et elle s'inscrit plutôt dans une logique commerciale et assez pragmatique."
25,"Tout le temps, c'est donc de l'administration de son prédécesseur Joe Biden qui justifiait le soutien américain à l'Ukraine par des raisons géopolitiques et de défense de la démocratie occidentale face à la réussite."
26,Donald Trump lui considère que tout aide à porter par les États-Unis doit servir en retour des intérêts américains concrets.
27,"Ça s'inscrit dans sa vision d'America's First, l'Amérique ou les États-Unis premiers, qu'il ne cesse de répéter depuis son retour à la Maison Blanche le 20 janvier dernier."
28,"Et au-delà de la question purement financière vis-à-vis de l'Ukraine, cet accord permettrait aussi aux États-Unis de réduire leur dépendance vis-à-vis de la Chine qui contrôle aujourd'hui plus de 70% de la production mondiale des terres rares."
29,"Il y a donc un doux enjeu pour Donald Trump d'une part consolider un partenariat économique avec l'Ukraine, même si la guerre dure dans le temps, et de l'autre renforcer son indépendance technologique et industrielle vis-à-vis de la Chine."
30,A noter aussi que la posture de Donald Trump sur la guerre en Ukraine repose par ailleurs sur une ambiguïté stratégique.
31,"D'un côté, il souhaite que l'Ukraine et la Russie négocient, mais de l'autre, il laisse entendre que l'Ukraine pourrait ne pas conserver l'intégralité de son territoire, et même être russe un jour, c'est ce qu'il a affirmé ce lundi lors d'une interview."
32,"En fait, Donald Trump sait que l'opinion publique américaine est de plus en plus sceptique vis-à-vis du soutien américain à l'Ukraine, et donc en adoptant cette posture de négociateur de la paix, tout en exigeant des contreparties économiques, il cherche à convaincre ses soutiens, qu'il réduit les dépenses inutiles, mais il veut aussi maintenir une relation avec la Russie qui pourrait être un allié stratégique."
33,"En tout cas, Vladimir Zelensky semble vouloir avancer dans ses négociations avec la Russie."
34,"Il a déclaré ce mardi, lors d'un entretien avec le quotidien britannique The Guardian, je cite « nous échangerons un territoire contre un autre, précisant qu'il pourrait échanger avec la Russie une partie de la région frontalière russe de Kursk, dont l'armée ukrainienne a pris le contrôle il est à 6 mois »."
35,"On en parlait vendredi, le président ukrainien a longtemps refusé l'idée de négociation directe avec le président russe Vladimir Poutine, affirmant vouloir battre la Russie sur le terrain, mais ce changement de posture peut s'expliquer notamment par les difficultés rencontrées par l'armée ukrainienne qui continuent de reculer sur le front."
36,"Les forces russes ont réalisé des avancées notables, notamment dans la région de Donetsk, où elles se sont emparées de plusieurs localités."
37,"En tout cas, la Russie a balayé ce mercredi cette idée d'un « échange de territoire occupé » dans le cadre de négociations de paix."
38,"La Russie n'a jamais discuté et ne discutera jamais d'un échange impliquant son territoire, a déclaré le porte-parole de la présidence russe Dmitry Peskov, précisant que les forces ukrainiennes qui occupent une partie de la région de Kursk seraient, je cite, « anéanti » ou « chassé »."
39,Voilà pour les dernières infos.
40,"En tout cas, Donald Trump utilise la guerre en Ukraine comme un levier économique et diplomatique."
41,L'Ukraine ne semble pas du tout sceptique à cette approche.
42,On suivra les prochaines négociations.
43,"Et avant de donner la parole à Léa pour les actualités en bref, je voulais vous dire qu'on vient de sortir une nouvelle interview sur notre chaîne Grand Format."
44,C'est un entretien de plus d'une heure et demi avec l'ancien Premier ministre Dominique de Vilpin.
45,"On a abordé énormément de sujets avec lui, que ce soit la réélection de Donald Trump, ou encore la situation au Proche-Orient, la guerre en Ukraine, ou la crise politique actuelle en France."
46,C'est une interview absolument passionnante.
47,Je vous mets le lien en description si vous voulez la regarder.
48,Merci Blanche et bonjour à tous.
49,On commence avec un point sur la situation au Proche-Orient.
50,"Déjà, Emmanuel Macron s'est opposé au projet du président américain Donald Trump de faire de la bande de gazade, je cite « la Côte d'Azur du Moyen-Orient »."
51,"Dans une interview diffusée ce mardi sur la chaîne américaine CNN, le président a rappelé que Gaza n'est pas une terre vide, c'est un territoire où vivent 2 millions de personnes, estimant qu'il n'était pas possible de leur demander de quitter le territoire."
52,"Historiquement, la France soutient la solution à deux États, l'un israélien et l'autre palestinien."
53,"Autre info concernant Gaza, plus de 53 milliards de dollars seront nécessaires pour reconstruire le territoire palestinien, dont 20 milliards sur les trois premières années, selon une estimation de l'ONU publiée ce mardi."
54,Faut savoir que plus de 60% des habitations ont été détruites dans l'enclave palestinienne depuis octobre 2023.
55,"Mais plusieurs autres secteurs auront eux aussi besoin d'être reconstruits, comme celui de la santé, de l'agriculture ou du commerce et de l'industrie."
56,"Et enfin, dernier point, Israël a menacé de reprendre les combats à Gaza si les otages israéliens ne sont pas libérés avant ce samedi à midi, alors que le Hamas a déclaré suspendre la libération des otages prévues ce jour-là."
57,"A noter que ces derniers jours, plusieurs anciens otages du Hamas se sont confiés à la presse sur leurs conditions de détention."
58,"Le franco-israélien Ofer Kaldéron a notamment expliqué avoir été détenu, je cite, dans des tunnels sans voir la lumière du jour, sans accès aux médias, dans des conditions de fin extrême pendant des mois entiers sans prendre de douche ni recevoir de soins appropriés."
59,"Deuxième actu, on voulait revenir sur les dernières infos concernant le meurtre de Louise."
60,Cette collégienne de 11 ans retrouvait morte ce samedi dans un bois en Nesson après avoir disparu la veille.
61,"Ce lundi, le principal suspect, Owen L, âgé de 23 ans, a été placé en garde à vue."
62,Il avait été interpellé grâce à des images de vidéosurveillance de la ville où il a été identifié par des voisins.
63,"Ce mardi, des analyses ont révélé des traces de son ADN sur les mains de la collégienne."
64,Il a finalement reconnu les faits en garde à vue ce mercredi matin à un diquel parqué d'Evry.
65,"Pour le moment, le mobile du crime reste inconnu."
66,"A noter que Owen L était déjà connu de la police pour des délits mineurs, dont un fait de violence selon BFM TV."
67,"Toujours selon BFM, sa petite soeur avait déposé une main courante contre lui pour des violences."
68,"Troisième actu, plusieurs mesures visant à améliorer la sécurité dans les transports en commun, ont été adoptées ce mardi par les députés."
69,"Parmi les mesures phares, il y a l'autorisation pour les forces de sécurité de la SNCF et de la RATP, de procéder à des palpations sans l'accord des préfets, mais aussi d'agir sur la voie publique aux abords immédiats dégâts et non plus seulement à l'intérieur."
70,L'Assemblée nationale a aussi validé l'utilisation permanente des caméras piétons pour les contrôleurs.
71,Il s'agit de dispositifs qui leur permettent de filmer leur intervention en direct.
72,"En tout cas, ce texte divise les élus, notamment à gauche, qui y voit une proposition de loi qui va à l'encontre de certains droits fondamentaux."
73,"Pour la députée PS Céline Thiebo-Martinez, il s'agit d'un texte Liberticide."
74,"A noter qu'il avait déjà été adopté par le Sénat en février 2024, mais il avait ensuite été bloqué après la dissolution de l'Assemblée nationale en juin et la censure du gouvernement de Michel Barnier en décembre."
75,Il a donc finalement été approuvé à l'Assemblée par 139 voix entre 59 ce mardi.
76,Le texte doit maintenant être finalisé en commission de mix parétaire.
77,On suivra ça.
78,"Quatrième actu, l'île d'Amsterdam, une île française située dans l'océan indien, est ravagée par un incendie depuis le 15 janvier."
79,"Le feu a déjà détruit près de 50% du territoire de 58 km2, selon la préfecture des terres australes et antarctiques françaises."
80,"Les 31 habitants de cette île, qui sont majoritairement des scientifiques et des militaires, ont été évacués vers la Réunion."
81,La préfecture a expliqué qu'il n'y avait aucun moyen d'étendre le feu à cause de l'isolement de l'île.
82,"Alors pour le moment, les causes du feu restent inconnues, mais la végétation sèche et l'évent fort favorisent sa propagation."
83,"À noter que l'île d'Amsterdam abrite une biodiversité unique, dont l'albatros d'Amsterdam, une espèce en danger critique d'extension, ainsi que des autaries à fourrure et des éléphants de mer."
84,"Cinquième actu, rapidement vu qu'on en parlait hier, le site de la marque du rappeur américain Kenny West a été désactivé ce mardi, après la mise en vente de t-shirt avec une croix gamé, le symbole des nazis."
85,"Pour Shopify, les bergeurs du site qui gèrent l'épément, la page de Kenny West a violé les conditions de l'entreprise."
86,"Le rappeur a aussi quitté le réseau social Xcelendi, après une série de publications antisémites, racistes, misogynes et pornographiques."
87,"Pour le moment, on ne sait pas si son compte a été supprimé de la plateforme, ou si Kenny West a désactivé son compte lui-même."
88,Je vous renvoie à nos actus d'hier si vous voulez en savoir plus.
89,"Et on finit avec cet actu, la moitié des réponses des intelligences artificielles génératives sur l'actualité ne sont pas fiables selon une étude de la BBC."
90,"Les chercheurs ont testé 4 IAs accessibles au grand public, à savoir Chet J.P.T."
91,"d'OpenAI, copilote de Microsoft, Gemini de Google et Perplexity."
92,Ils leur ont posé des questions sur l'actualité en les incitant à utiliser des articles de BBC News.
93,"Les résultats, 51% des réponses présentaient je cite des problèmes significatifs d'une manière ou d'une autre et 19% des contenus citant la BBC contenaient des erreurs factuelles comme des fousses d'éclarations ou des chiffres incorrects."
94,La BBC a indiqué qu'elle continuerait à mener ce type d'expérimentation à l'avenir afin de suivre les évolutions possibles des intelligences artificielles.
95,Merci Lea pour ses actualités en bref.
96,Et aujourd'hui on vous propose un débat du jour.
97,Utilisez-vous l'IA pour vos recherches quotidiennes.
98,N'hésitez pas à répondre par oui ou par non et mettre vos arguments dans les commentaires.
99,"C'est tout pour moi, merci beaucoup d'avoir suivi ces actualités."
100,"Prenez soin de vous, prenez soin de vos proches et je vous dis à bientôt."
